Rosario Central;38;Damián Fernández;Portero;28/04/2004;22;Argentina;1,88m;Derecho;01/01/2024;CA Rosario Central II;-;-
Rosario Central;46;Ignacio Ovando;Defensa central;29/06/2007;19;Argentina;1,82m;Derecho;01/01/2026;CA Rosario Central II;-;9,00 mill. €
Rosario Central;13;Gastón Ávila;Defensa central;30/09/2001;24;Argentina;1,82m;Izquierdo;14/01/2026;Ajax de Ámsterdam;31/12/2026;3,50 mill. €
Rosario Central;24;Juan Giménez;Defensa central;27/04/2006;20;Argentina;1,87m;Derecho;01/07/2024;CA Rosario Central II;-;2,00 mill. €
Rosario Central;15;Facundo Mallo;Defensa central;16/01/1995;31;Uruguay;1,86m;Derecho;01/01/2024;Defensor Sporting Club;-;1,00 mill. €
Rosario Central;2;Sebastián Zaracho;Defensa central;20/01/1999;27;Paraguay;1,87m;Izquierdo;01/07/2026;Club Guaraní;-;600 mil €
Rosario Central;6;Juan Cruz Komar;Defensa central;13/08/1996;30;Argentina / Italia;1,90m;Derecho;18/02/2022;CA Talleres;-;500 mil €
Rosario Central;47;Luca Raffin;Defensa central;13/01/2006;20;Argentina / Italia;1,86m;Derecho;01/01/2026;CA Rosario Central II;-;150 mil €
Rosario Central;3;Agustín Sández;Lateral izquierdo;16/01/2001;25;Paraguay / Argentina;1,84m;Izquierdo;21/08/2023;CA Boca Juniors;-;2,50 mill. €
Rosario Central;33;Alexis Soto;Lateral izquierdo;20/10/1993;32;Argentina;1,76m;Izquierdo;19/01/2026;CSD Defensa y Justicia;31/12/2026;1,20 mill. €
Rosario Central;32;Emanuel Coronel;Lateral derecho;01/02/1997;29;Argentina;1,74m;Derecho;07/02/2024;CA Banfield;-;2,70 mill. €
Rosario Central;4;Ulises Ciccioli;Lateral derecho;02/07/2003;23;Argentina;1,73m;Derecho;01/01/2024;CA Rosario Central II;-;400 mil €
Rosario Central;42;Elías Verón;Lateral derecho;03/07/2007;19;Argentina;-;Derecho;;;-;100 mil €
Rosario Central;5;Franco Ibarra;Pivote;28/04/2001;25;Argentina;1,75m;Derecho;20/01/2025;Atlanta United FC;-;6,00 mill. €
Rosario Central;20;Vicente Pizarro;Pivote;05/11/2002;23;Chile;1,72m;Izquierdo;14/01/2026;CSD Colo-Colo;-;4,50 mill. €
Rosario Central;31;Federico Navarro;Pivote;09/03/2000;26;Argentina;1,71m;Derecho;26/01/2025;Chicago Fire FC;-;2,00 mill. €
Rosario Central;88;Alan Rodríguez;Mediocentro;25/01/2000;26;Uruguay / Italia;1,74m;Derecho;05/08/2026;Sport Club Internacional;30/06/2027;2,30 mill. €
Rosario Central;28;Pol Fernández;Mediocentro;11/10/1991;34;Argentina;1,76m;Derecho;26/01/2026;CD Godoy Cruz Antonio Tomba;-;350 mil €
Rosario Central;19;Santiago Segovia;Mediocentro ofensivo;26/03/2007;19;Argentina;1,70m;Derecho;01/01/2025;CA Rosario Central II;-;225 mil €
Rosario Central;8;Jáminton Campaz;Extremo izquierdo;24/05/2000;26;Colombia;1,66m;Izquierdo;24/01/2024;Grêmio Foot-Ball Porto Alegrense;-;5,50 mill. €
Rosario Central;26;Giovanni Cantizano;Extremo izquierdo;21/03/2007;19;Argentina;1,68m;Derecho;01/07/2025;CA Rosario Central II;-;3,50 mill. €
Rosario Central;10;Franco Cervi;Extremo izquierdo;26/05/1994;32;Argentina / Italia;1,66m;Izquierdo;18/07/2026;RC Celta de Vigo;-;600 mil €
